Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.UMBRAL_POBREZA,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.72
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.71
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.65
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.83
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,19.86
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.38
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,19.77
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.23
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,17.87
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.13
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.69
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.35
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,15.55
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.61
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.25
